material_id,formula,volume,density,crystal_system,nsites,elements,chemsys,band_gap,formation_energy_per_atom
mp-673655,Cu9Se5,472.7466066777017,6.791233783825142,Triclinic,28,"Cu, Se",Cu-Se,0.0,-0.088991285915178
mp-1173070,Cu9Se5,249.31885361172357,6.438607991231629,Monoclinic,14,"Cu, Se",Cu-Se,0.0,-0.07753550377232
mp-673255,Cu9Se8,329.35176318793947,6.068329004769535,Triclinic,17,"Cu, Se",Cu-Se,0.0,-0.17552827632353202
mp-936248,Cu9Se8,343.9886154552156,5.8101191944405,Triclinic,17,"Cu, Se",Cu-Se,0.0,-0.028287302205883002
mp-32857,Cu13Se8,375.2905423662246,6.450195371744258,Cubic,21,"Cu, Se",Cu-Se,0.0,-0.104366369642859
mp-684605,Cu17Se10,475.6864729293306,6.527434113926192,Monoclinic,27,"Cu, Se",Cu-Se,0.0,-0.07142315354166401
mp-684970,Cu19Se11,522.0660589226177,6.6029374018243825,Triclinic,30,"Cu, Se",Cu-Se,0.0,-0.060742821072915
mp-685189,Cu29Se19,884.1777288779734,6.278494468051536,Trigonal,48,"Cu, Se",Cu-Se,0.0,-0.092854481347655
mp-684606,Cu27Se20,909.8304848526615,6.01362561957591,Trigonal,47,"Cu, Se",Cu-Se,0.0,-0.133801923111701
mp-684923,Cu25Se26,3122.0703242216696,5.810601660770162,Monoclinic,153,"Cu, Se",Cu-Se,0.0,-0.18084744710375703
mp-1978391,CuTe,41.475826609632946,7.65278058016099,Tetragonal,2,"Cu, Te",Cu-Te,0.0,0.026828514999998002
mp-1861,Cu2Te,136.73976795623284,6.185852473961427,Hexagonal,6,"Cu, Te",Cu-Te,0.0,0.08165582833333401
mp-1183984,Cu3Te,61.473763563398585,8.596295408717864,Cubic,4,"Cu, Te",Cu-Te,0.0,0.137867280000001
mp-1181516,CuTe,367.2018289079767,1.728778973504881,Orthorhombic,4,"Cu, Te",Cu-Te,0.0,0.72635044
mp-1238498,CuTe,82.95163681214551,7.652782093815177,Orthorhombic,4,"Cu, Te",Cu-Te,0.0,0.028214004999998002
mp-20826,CuTe,94.67133081146629,6.705417526165807,Orthorhombic,4,"Cu, Te",Cu-Te,0.0,-0.0842046275
mp-623012,CuTe,82.18235577791044,7.72441717981606,Orthorhombic,4,"Cu, Te",Cu-Te,0.0,0.017019144999999
mp-1207193,CuTe2,70.78099504329904,7.477857368333115,Trigonal,3,"Cu, Te",Cu-Te,0.0,0.003043896666665
mp-1103235,CuTe2,292.52689775735826,7.237490834248176,Cubic,12,"Cu, Te",Cu-Te,0.0,-0.0033016250000010004
mp-1225676,Cu3Te2,97.75160693459394,7.573598425549872,Tetragonal,5,"Cu, Te",Cu-Te,0.0,-0.046105823999999004
mp-624307,Cu7Te4,407.45295611017156,7.785848277644575,Trigonal,22,"Cu, Te",Cu-Te,0.0,0.084661953636361
mp-1244890,ZnS,2502.916739121837,3.2334152880082963,Triclinic,100,"S, Zn",S-Zn,0.8751000000000001,-0.5132987818633921
mp-1244921,ZnS,2396.181021036189,3.377444849883982,Triclinic,100,"S, Zn",S-Zn,1.0343,-0.5211396588633921
mp-1244922,ZnS,2393.493708555356,3.381236900669817,Triclinic,100,"S, Zn",S-Zn,0.675199999999999,-0.545126070463392
mp-1244936,ZnS,2358.769478276966,3.431013214059465,Triclinic,100,"S, Zn",S-Zn,1.2384,-0.5192043799633911
mp-1244969,ZnS,2327.1608270789975,3.477614935211221,Triclinic,100,"S, Zn",S-Zn,0.220399999999999,-0.534331314863392
mp-1244974,ZnS,2278.4554984992583,3.551954055814996,Triclinic,100,"S, Zn",S-Zn,0.915999999999999,-0.49657768886339204
