material_id,formula,volume,density,crystal_system,nsites,elements,chemsys,band_gap,formation_energy_per_atom,avg_coordination,avg_bond_length,electronegativity_diff,radii_ratio,avg_atomic_mass,packing_efficiency,symmetry_deviation
mp-553942,Cu2S,83.88161311073563,6.301414730161676,Hexagonal,6,"Cu, S",Cu-S,0.0,0.026702616979167003,8.0,2.510476499055717,0.6800000000000002,1.35,47.805499999999995,0.13181359320918465,0
mp-12087,Cu2S,42.80679427061594,6.173936187608224,Cubic,3,"Cu, S",Cu-S,0.0,-0.117489439687498,5.333333333333333,2.4045004810486104,0.6800000000000002,1.35,47.805499999999995,0.12914698492031723,0
mp-1225811,Cu2S,45.756707050710325,5.775905506704364,Orthorhombic,3,"Cu, S",Cu-S,0.160499999999999,-0.155929389687499,4.0,2.2223825918456677,0.6800000000000002,1.35,47.805499999999995,0.1208209412453455,1
mp-618991,Cu2S,174.49741373094642,6.058231135284408,Tetragonal,12,"Cu, S",Cu-S,0.1303,-0.19227918343750003,4.0,2.297060377778792,0.6800000000000002,1.35,47.805499999999995,0.126726655620889,1
mp-1225731,Cu3S2,71.55261410879497,5.912463467460496,Tetragonal,5,"Cu, S",Cu-S,0.0,-0.152028229458332,5.6,2.432175287379026,0.6800000000000002,1.35,47.805499999999995,0.12367747366852133,1
mp-624299,Cu7S4,665.4827778457887,5.7199078987181835,Orthorhombic,44,"Cu, S",Cu-S,0.0,-0.23100398988636303,4.181818181818182,2.3138499145974563,0.6800000000000002,1.35,47.805499999999995,0.11964957795061623,1
mp-685108,Cu9S5,199.1363793041762,6.105923336744216,Triclinic,14,"Cu, S",Cu-S,0.0,-0.12350686680803401,5.142857142857143,2.480461172689097,0.6800000000000002,1.35,47.805499999999995,0.12772428563123944,1
mp-685056,Cu9S16,525.6389500164605,3.427463855955725,Trigonal,25,"Cu, S",Cu-S,0.0,0.377305244254167,3.04,2.2369136340547446,0.6800000000000002,1.35,47.805499999999995,0.07169601522744716,1
mp-542333,Cu9S5,208.87335682228067,5.821285606199512,Trigonal,14,"Cu, S",Cu-S,0.0,-0.154668204665177,5.142857142857143,2.4162804213054963,0.6800000000000002,1.35,47.805499999999995,0.12177020648669114,1
mp-684710,Cu9S5,415.3199490912191,5.8553000800886625,Triclinic,28,"Cu, S",Cu-S,0.0,-0.17720916752232002,5.142857142857143,2.3827475380749434,0.6800000000000002,1.35,47.805499999999995,0.12248172448962281,1
